,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Pacific Grove,US,36.6177,-121.9166,13.14,86,68,3.58,broken clouds
204,La Macarena,CO,2.1837,-73.7849,22.37,100,100,0.5,overcast clouds
205,Gilgit,PK,35.9221,74.3087,19.1,33,9,1.17,clear sky
206,Kirakira,SB,-10.4544,161.9205,27.25,80,14,2.21,few clouds
207,Cogoleto,IT,44.3893,8.6429,20.45,50,0,8.75,clear sky
208,Tazovskiy,RU,67.4667,78.7,0.91,98,100,7.22,overcast clouds
209,Izberbash,RU,42.5696,47.8645,11.03,67,7,3.51,clear sky
210,Karaton,ID,-6.3424,106.1045,30.46,64,78,1.81,broken clouds
211,Poronaysk,RU,49.2167,143.1167,3.41,63,10,3.78,clear sky
212,Guerrero Negro,MX,27.9769,-114.0611,14.82,79,74,5.66,broken clouds
213,Bengkulu,ID,-3.8004,102.2655,29.25,67,55,3.52,broken clouds
214,Bara,NG,10.3744,10.7288,27.75,59,100,4.55,overcast clouds
215,Cherskiy,RU,68.75,161.3,-5.41,94,99,2.24,overcast clouds
216,Vardo,NO,70.3705,31.1107,0.82,72,82,8.06,broken clouds
217,Lata,PT,40.1629,-8.3327,11.61,84,0,1.17,clear sky
218,Oban,GB,56.4127,-5.4706,10.21,87,100,2.47,overcast clouds
219,Richards Bay,ZA,-28.783,32.0377,24.37,72,6,2.96,clear sky
220,Santa Maria,BR,-29.6842,-53.8069,8.83,80,0,0.2,clear sky
221,Puerto Carreno,CO,6.189,-67.4859,26.71,72,100,3.7,overcast clouds
222,Burns Lake,CA,54.2331,-125.7533,-5.32,93,90,1.44,overcast clouds
223,Casteltermini,IT,37.5405,13.6445,13.27,65,100,5.35,overcast clouds
224,Riyadh,SA,24.6877,46.7219,29.08,19,100,2.78,overcast clouds
225,Tuktoyaktuk,CA,69.4541,-133.0374,-23.54,100,97,1.91,overcast clouds
226,Padilla,CO,3.2204,-76.3139,19.76,91,100,1.29,overcast clouds
227,Kieta,PG,-6.2167,155.6333,27.71,80,68,1.18,light rain
228,Pringsewu,ID,-5.3582,104.9744,32.26,54,100,1.01,overcast clouds
