City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
216,Concordia,AR,2022-04-12 16:49:15,-31.393,-58.0209,22.1,46,100,3.13
217,Rawson,AR,2022-04-12 16:49:15,-43.3002,-65.1023,15.73,31,24,6.18
218,Kodinsk,RU,2022-04-12 16:49:16,58.6881,99.1844,-6.87,96,43,1.18
219,Maseru,LS,2022-04-12 16:49:16,-29.3167,27.4833,14.11,64,59,3.11
220,Boca Do Acre,BR,2022-04-12 16:49:16,-8.7522,-67.3978,29.77,74,95,1.95
221,Ixtapa,MX,2022-04-12 16:49:17,20.7,-105.2,31.88,39,60,2.58
222,Namibe,AO,2022-04-12 16:50:17,-15.1961,12.1522,24.35,76,7,5.76
223,Vao,NC,2022-04-12 16:50:17,-22.6667,167.4833,24.13,75,5,6.11
224,Bakchar,RU,2022-04-12 16:50:18,57.0186,82.0711,-2.55,95,7,0.47
225,Bud,US,2022-04-12 16:50:18,39.447,-86.1758,18.97,80,77,4.78
226,Dudinka,RU,2022-04-12 16:50:18,69.4058,86.1778,-2.43,96,100,9.23
227,Pacific Grove,US,2022-04-12 16:50:19,36.6177,-121.9166,12.55,50,0,3.09
228,Balabac,PH,2022-04-12 16:50:19,7.9868,117.0645,26.5,78,100,3.69
229,Kamyzyak,RU,2022-04-12 16:50:19,46.11,48.0736,15.01,72,0,4.0
230,Provideniya,RU,2022-04-12 16:50:20,64.3833,-173.3,-6.73,92,100,7.47
231,Yangjiang,CN,2022-04-12 16:47:00,21.85,111.9667,22.25,94,7,1.48
232,Benavente,ES,2022-04-12 16:50:22,42.0025,-5.6783,11.53,65,88,4.35
233,Goderich,CA,2022-04-12 16:50:22,43.7501,-81.7165,12.18,50,2,3.6
234,Bambous Virieux,MU,2022-04-12 16:50:23,-20.3428,57.7575,25.12,88,75,4.12
235,Hambantota,LK,2022-04-12 16:50:23,6.1241,81.1185,27.09,82,96,4.74
236,Gazojak,TM,2022-04-12 16:50:23,41.1875,61.4036,22.14,30,11,5.31
237,Sabang,ID,2022-04-12 16:50:24,5.8933,95.3214,28.81,73,24,4.56
238,Pierre,US,2022-04-12 16:50:24,44.3683,-100.351,13.36,76,100,8.23
239,Iracoubo,GF,2022-04-12 16:50:24,5.4802,-53.2011,27.38,78,68,4.82
240,Ahipara,NZ,2022-04-12 16:50:25,-35.1667,173.1667,18.67,76,100,6.5
241,Whitehorse,CA,2022-04-12 16:50:25,60.7161,-135.0538,-18.57,78,0,0.0
242,Matara,LK,2022-04-12 16:50:25,5.9485,80.5353,26.17,87,100,3.36
243,Aksu,CN,2022-04-12 16:50:26,41.1231,80.2644,19.15,23,74,2.9
244,Sassandra,CI,2022-04-12 16:50:26,4.95,-6.0833,28.96,73,100,4.47
245,Barranca,PE,2022-04-12 16:50:26,-10.75,-77.7667,21.8,72,46,4.63
246,Lossiemouth,GB,2022-04-12 16:50:27,57.7214,-3.2834,12.92,66,100,6.69
